Time;Power
1.9. 00:00:00;0,34
1.9. 01:00:00;2,17
1.9. 02:00:00;0,32
1.9. 03:00:00;0,69
1.9. 04:00:00;0,39
1.9. 05:00:00;0,36
1.9. 06:00:00;2,79
1.9. 07:00:00;0,87
1.9. 08:00:00;1,96
1.9. 09:00:00;1,14
1.9. 10:00:00;0,7
1.9. 11:00:00;1,79
1.9. 12:00:00;0,51
1.9. 13:00:00;0,82
1.9. 14:00:00;0,51
1.9. 15:00:00;1,54
1.9. 16:00:00;2,7
1.9. 17:00:00;0,85
1.9. 18:00:00;0,48
1.9. 19:00:00;0,79
1.9. 20:00:00;0,94
1.9. 21:00:00;3
1.9. 22:00:00;1,02
1.9. 23:00:00;2,28
2.9. 00:00:00;0,36
2.9. 01:00:00;0,68
2.9. 02:00:00;1,89
2.9. 03:00:00;0,36
2.9. 04:00:00;2,26
2.9. 05:00:00;0,35
2.9. 06:00:00;2,49
2.9. 07:00:00;1,13
2.9. 08:00:00;2,1
2.9. 09:00:00;1,32
2.9. 10:00:00;0,59
2.9. 11:00:00;1,84
2.9. 12:00:00;2,08
2.9. 13:00:00;0,47
2.9. 14:00:00;0,81
2.9. 15:00:00;0,56
2.9. 16:00:00;0,9
2.9. 17:00:00;0,43
2.9. 18:00:00;0,32
2.9. 19:00:00;2,73
2.9. 20:00:00;2,7
2.9. 21:00:00;3,09
2.9. 22:00:00;3,56
2.9. 23:00:00;0,4
3.9. 00:00:00;0,76
3.9. 01:00:00;1,71
3.9. 02:00:00;0,69
3.9. 03:00:00;0,33
3.9. 04:00:00;2,08
3.9. 05:00:00;0,48
3.9. 06:00:00;1,88
3.9. 07:00:00;0,9
3.9. 08:00:00;2,87
3.9. 09:00:00;1,5
3.9. 10:00:00;0,38
3.9. 11:00:00;1,3
3.9. 12:00:00;2,39
3.9. 13:00:00;0,41
3.9. 14:00:00;0,78
3.9. 15:00:00;1,56
3.9. 16:00:00;2,98
3.9. 17:00:00;0,88
3.9. 18:00:00;1,66
3.9. 19:00:00;2,18
3.9. 20:00:00;3,18
3.9. 21:00:00;2,35
3.9. 22:00:00;2,06
3.9. 23:00:00;0,47
4.9. 00:00:00;2,3
4.9. 01:00:00;1,12
4.9. 02:00:00;1,46
4.9. 03:00:00;0,45
4.9. 04:00:00;1,81
4.9. 05:00:00;0,7
4.9. 06:00:00;1,78
4.9. 07:00:00;0,92
4.9. 08:00:00;2,59
4.9. 09:00:00;2,93
4.9. 10:00:00;3,18
4.9. 11:00:00;3,02
4.9. 12:00:00;3,78
4.9. 13:00:00;1,47
4.9. 14:00:00;0,77
4.9. 15:00:00;1,29
4.9. 16:00:00;0,55
4.9. 17:00:00;3,88
4.9. 18:00:00;1,74
4.9. 19:00:00;3,27
4.9. 20:00:00;1,46
4.9. 21:00:00;3,36
4.9. 22:00:00;2,49
4.9. 23:00:00;0,95
5.9. 00:00:00;1,84
5.9. 01:00:00;0,55
5.9. 02:00:00;2,07
5.9. 03:00:00;0,34
5.9. 04:00:00;2,25
5.9. 05:00:00;0,34
5.9. 06:00:00;2,2
5.9. 07:00:00;1,71
5.9. 08:00:00;1,58
5.9. 09:00:00;1,61
5.9. 10:00:00;3,01
5.9. 11:00:00;0,98
5.9. 12:00:00;0,49
5.9. 13:00:00;1,15
5.9. 14:00:00;0,53
5.9. 15:00:00;0,94
5.9. 16:00:00;0,6
5.9. 17:00:00;1,31
5.9. 18:00:00;0,44
5.9. 19:00:00;2,95
5.9. 20:00:00;3,01
5.9. 21:00:00;0,7
5.9. 22:00:00;0,92
5.9. 23:00:00;1,98
6.9. 00:00:00;0,42
6.9. 01:00:00;2,29
6.9. 02:00:00;0,4
6.9. 03:00:00;1,25
6.9. 04:00:00;1,29
6.9. 05:00:00;2,03
